stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
030630,030630,Via Orsini,VIA R. ORSINI (chiesa  G. D. Lavoratore),40.494128,17.226257,030630,0,
030640,030640,De Amicis (fr. Portici),De Amicis (fr. Portici),40.494798,17.226547,030640,0,
030660,030660,Via De Amicis,VIA E. DE AMICIS n.6,40.494618,17.226777,030660,0,
030680,030680,De Amicis,VIA E. DE AMICIS  (Portici),40.494798,17.227737,030680,0,
030690,030690,Via Archimede,VIA ARCHIMEDE n.30,40.494478,17.231687,030690,0,
030700,030700,Via Archimede,VIA ARCHIMEDE n.29,40.494378,17.231427,030700,0,
030730,030730,Cimitero,CIMITERO (Porta Tamburi),40.493028,17.222507,030730,0,
030731,030731,Cimitero (Cancello Piccolo),Cimitero (Cancello Piccolo),40.492817,17.222517,030731,0,
030733,030733,Savino (c/o 1^ rivendita fiori),Savino (c/o 1^ rivendita fiori),40.493579,17.223489,030733,0,
030740,030740,Via R. Orsini,VIA R. ORSINI (ang. Via Volta),40.492678,17.226667,030740,0,
030760,030760,SS.7 Appia (fr. Ditta Imav),SS.7 Appia (fr. Ditta Imav),40.519417,17.189067,030760,0,
030770,030770,Via Orsini,VIA R. ORSINI n. 147,40.492308,17.226607,030770,0,
030780,030780,Via Masaccio,VIA MASACCIO n. 35,40.492408,17.229167,030780,0,
030790,030790,SS.7 Appia (Ditta Imav),SS.7 Appia (Ditta Imav),40.493027,17.207899,030790,0,
030800,030800,San Brunone (Ingresso Ovest Cimitero),San Brunone (Ingresso Ovest Cimitero),40.491733,17.217373,030800,0,
030810,030810,Via Galeso,VIA GALESO n.135,40.491868,17.233597,030810,0,
030820,030820,Archimede (Palazzina A sc. C),Archimede (Palazzina A sc. C),40.492668,17.232007,030820,0,
030830,030830,Via Galeso,VIA GALESO n.106,40.491028,17.232917,030830,0,
030831,030831,Via Galeso,VIA GALESO n. 128,40.492188,17.234187,030831,0,
030840,030840,Via R. Orsini,VIA R. ORSINI n.78,40.490368,17.227317,030840,0,
030850,030850,SS.106,SS.106 TARANTO R. CALABRIA (P.le IP),40.489868,17.192557,030850,0,
030870,030870,Via Galeso,VIA GALESO n.103,40.490238,17.231647,030870,0,
030880,030880,Via Masaccio,VIA MASACCIO n. 5,40.490268,17.229847,030880,0,
030890,030890,Archimede (fr. Palazzina A sc. C),Archimede (fr. Palazzina A sc. C),40.492688,17.231707,030890,0,
030891,030891,Via SS. A. Custodi,VIA SS.ANG. CUSTODI,40.492678,17.233407,030891,0,
030900,030900,Via R. Orsini,VIA R. ORSINI n. 64,40.489518,17.227317,030900,0,
030910,030910,Piazzale Cimitero,PIAZZALE CIMITERO  (Ingresso Principale),40.489438,17.221467,030910,0,
030930,030930,Piazzale Cimitero,PIAZZALE CIMITERO (fr. Ingr. Principale),40.489178,17.221367,030930,0,
030940,030940,Via N.Macchiavelli,VIA N.MACCHIAVELLI n.50,40.489258,17.227157,030940,0,
